"sample","total_coding_indels","in_pks_motif_coding","fraction_pksmotif_coding"
"PD36814i3",3,0,0
"PD36814i4",0,0,NA
"PD36814k2",1,0,0
"PD36814k6",3,0,0
"PD36814k7",2,0,0
"PD36814k8",1,0,0
"PD36814l2",3,0,0
"PD36814l4",0,0,NA
"PD36814l7",0,0,NA
"PD36814l8",0,0,NA
"PD36814m5",2,0,0
"PD36814m8",2,0,0
"PD37226b5",2,0,0
"PD37226b6",1,0,0
"PD37226c5",1,0,0
"PD37226c6",1,0,0
"PD37226c7",1,1,1
"PD37226c8",1,0,0
"PD37226d4",0,0,NA
"PD37226d5",0,0,NA
"PD37226d6",1,0,0
"PD37226e4",2,0,0
"PD37226e5",0,0,NA
"PD37226f5",0,0,NA
"PD37226f6",2,0,0
"PD37226f7",1,0,0
"PD37226g5",1,0,0
"PD37226g6",1,0,0
"PD37226g7",2,1,0.5
"PD37226h4",0,0,NA
"PD37226h7",3,0,0
"PD37226h8",0,0,NA
"PD37226i5",2,0,0
"PD37226i6",0,0,NA
"PD37226i7",4,0,0
"PD37226i8",0,0,NA
"PD37226j4",0,0,NA
"PD37226j5",0,0,NA
"PD37226j6",1,0,0
"PD37226j7",1,0,0
"PD37226j8",2,0,0
"PD37226k2",1,0,0
"PD37226k5",2,0,0
"PD37226k6",0,0,NA
"PD37226k8",1,0,0
"PD37226l5",0,0,NA
"PD37226l6",2,0,0
"PD37226l7",0,0,NA
"PD37226l8",1,0,0
"PD37226m5",1,0,0
"PD37226m7",3,0,0
"PD37226m8",1,0,0
"PD37226o4",2,0,0
"PD37226o5",3,0,0
"PD37226p7",0,0,NA
"PD37265b",1,0,0
"PD37265b7",1,0,0
"PD37265c2",2,0,0
"PD37265c3",0,0,NA
"PD37265c5",1,0,0
"PD37265d",0,0,NA
"PD37265d5",0,0,NA
"PD37265d8",1,0,0
"PD37265e",1,0,0
"PD37265e5",4,0,0
"PD37265f",0,0,NA
"PD37265f2",1,0,0
"PD37265f4",1,0,0
"PD37265g6",3,0,0
"PD37265g7",0,0,NA
"PD37265g8",0,0,NA
"PD37265h5",0,0,NA
"PD37265h6",0,0,NA
"PD37265h8",1,0,0
"PD37265i2",1,0,0
"PD37265i7",0,0,NA
"PD37265k",1,0,0
"PD37265k2",1,0,0
"PD37265k3",0,0,NA
"PD37265l2",1,0,0
"PD37265l6",0,0,NA
"PD37265m3",1,0,0
"PD37265m4",1,0,0
"PD37266b_lo0004",0,0,NA
"PD37266b_lo0005",5,0,0
"PD37266b_lo0006",1,0,0
"PD37266b_lo0007",1,0,0
"PD37266b_lo0008",0,0,NA
"PD37266b_lo0017",2,0,0
"PD37266b_lo0023",0,0,NA
"PD37266c_lo0010",2,1,0.5
"PD37266c_lo0012",0,0,NA
"PD37266c_lo0014",0,0,NA
"PD37266c_lo0016",2,1,0.5
"PD37266c_lo0018",1,0,0
"PD37266c_lo0023",0,0,NA
"PD37266d_lo0002",0,0,NA
"PD37266d_lo0010",0,0,NA
"PD37266d_lo0012",2,0,0
"PD37266d_lo0014",0,0,NA
"PD37266e_lo0008",1,0,0
"PD37266e_lo0010",0,0,NA
"PD37449c_lo0001",1,0,0
"PD37449c_lo0009",1,1,1
"PD37449c_lo0014",1,0,0
"PD37449c_lo0017",3,2,0.666666666666667
"PD37449d_lo0001",2,0,0
"PD37449d_lo0002",1,1,1
"PD37449d_lo0003",0,0,NA
"PD37449d_lo0006",1,0,0
"PD37449d_lo0011",1,0,0
"PD37449d_lo0012",1,0,0
"PD37449d_lo0017",2,2,1
"PD37449e_lo0001",0,0,NA
"PD37449e_lo0002",0,0,NA
"PD37449e_lo0003",1,0,0
"PD37449e_lo0004",1,0,0
"PD37449e_lo0006",0,0,NA
"PD37449e_lo0008",0,0,NA
"PD37449e_lo0010",1,1,1
"PD37449e_lo0014",0,0,NA
"PD37449e_lo0015",1,0,0
"PD37449f_lo0002",0,0,NA
"PD37449f_lo0006",0,0,NA
"PD37449f_lo0008",1,0,0
"PD37449f_lo0010",0,0,NA
"PD37449f_lo0011",1,1,1
"PD37449f_lo0016",1,0,0
"PD37449f_lo0017",0,0,NA
"PD37449f_lo0019",0,0,NA
"PD37449f_lo0022",1,0,0
"PD37449f_lo0023",0,0,NA
"PD37457b4",0,0,NA
"PD37457c4",0,0,NA
"PD37457e6",1,0,0
"PD37457f4",1,0,0
"PD37457f7",0,0,NA
"PD37457g5",1,0,0
"PD37457h2",0,0,NA
"PD37457h5",1,0,0
"PD37457i4",0,0,NA
"PD37457i5",0,0,NA
"PD37457j7",2,0,0
"PD37457j8",1,1,1
"PD37509b8",0,0,NA
"PD37509b9",2,0,0
"PD37510b4",0,0,NA
"PD37510b7",1,0,0
"PD37510b8",0,0,NA
"PD37512a11",2,0,0
"PD37512a4",1,0,0
"PD37512a5",0,0,NA
"PD37512b7",2,0,0
"PD37513a13",0,0,NA
"PD37513a2",1,0,0
"PD37513a20",2,0,0
"PD37513a21",1,0,0
"PD37513a3",1,1,1
"PD37513b5",0,0,NA
"PD37513b7",1,0,0
"PD37513b8",0,0,NA
"PD37514a",0,0,NA
"PD37514a2",0,0,NA
"PD37514a3",0,0,NA
"PD37514b3",1,0,0
"PD37514b7",2,0,0
"PD37514b8",0,0,NA
"PD37590b_lo0010",0,0,NA
"PD37590b_lo0015",2,0,0
"PD37590b_lo0018",3,0,0
"PD37590b_lo0030",0,0,NA
"PD37590b_lo0033",0,0,NA
"PD37590b_lo0041",1,0,0
"PD37590b_lo0051",0,0,NA
"PD37590b_lo0052",1,0,0
"PD37590b_lo0053",3,0,0
"PD37590b_lo0058",0,0,NA
"PD37590b_lo0074",0,0,NA
"PD37590b_lo0075",2,0,0
"PD37590b_lo0090",1,0,0
"PD37590b_lo0092",1,0,0
"PD37590b_lo0107",4,0,0
"PD37590b_lo0116",1,0,0
"PD37590b_lo0117",1,0,0
"PD37590c_lo0001",1,0,0
"PD37590c_lo0005",0,0,NA
"PD37590c_lo0009",2,0,0
"PD37590c_lo0019",1,0,0
"PD37590c_lo0021",1,0,0
"PD37590c_lo0025",0,0,NA
"PD37590c_lo0032",6,0,0
"PD37590c_lo0034",0,0,NA
"PD37590c_lo0040",2,0,0
"PD37590c_lo0048",1,0,0
"PD37590d_lo0012",2,1,0.5
